time,TT_mean,Scenario
17:40:00,64.58782415,ARM On: Mar-Apr 2023
17:45:00,63.14108434,ARM On: Mar-Apr 2023
17:50:00,61.05339615,ARM On: Mar-Apr 2023
17:55:00,59.01104469,ARM On: Mar-Apr 2023
18:00:00,56.36769907,ARM On: Mar-Apr 2023
18:05:00,54.78636331,ARM On: Mar-Apr 2023
18:10:00,53.33392925,ARM On: Mar-Apr 2023
18:15:00,51.72240487,ARM On: Mar-Apr 2023
18:20:00,50.61234137,ARM On: Mar-Apr 2023
18:25:00,49.37681878,ARM On: Mar-Apr 2023
18:30:00,47.77903538,ARM On: Mar-Apr 2023
18:35:00,46.66998386,ARM On: Mar-Apr 2023
18:40:00,46.08828095,ARM On: Mar-Apr 2023
18:45:00,45.37229557,ARM On: Mar-Apr 2023
18:50:00,44.82052883,ARM On: Mar-Apr 2023
18:55:00,44.26085794,ARM On: Mar-Apr 2023
19:00:00,43.70711516,ARM On: Mar-Apr 2023
19:05:00,43.4479389,ARM On: Mar-Apr 2023
19:10:00,43.22161126,ARM On: Mar-Apr 2023
19:15:00,43.22459766,ARM On: Mar-Apr 2023
19:20:00,43.15042952,ARM On: Mar-Apr 2023
19:25:00,42.95778479,ARM On: Mar-Apr 2023
19:30:00,42.75202675,ARM On: Mar-Apr 2023
19:35:00,42.8185439,ARM On: Mar-Apr 2023
19:40:00,42.62063796,ARM On: Mar-Apr 2023
19:45:00,42.66416735,ARM On: Mar-Apr 2023
19:50:00,42.62417718,ARM On: Mar-Apr 2023
19:55:00,42.81939016,ARM On: Mar-Apr 2023
20:00:00,42.76627765,ARM On: Mar-Apr 2023
20:05:00,42.58875239,ARM On: Mar-Apr 2023
20:10:00,42.62161581,ARM On: Mar-Apr 2023
20:15:00,42.60586105,ARM On: Mar-Apr 2023
20:20:00,42.48138174,ARM On: Mar-Apr 2023
20:25:00,42.31482595,ARM On: Mar-Apr 2023
20:30:00,42.28011565,ARM On: Mar-Apr 2023
20:35:00,42.28077612,ARM On: Mar-Apr 2023
20:40:00,42.36251685,ARM On: Mar-Apr 2023
